game_id,club_id,hosting,opponent_goals,own_goals
25819091,24.0,Home,1.0,1.0
25819591,4795.0,Home,0.0,1.0
25819691,33.0,Home,3.0,2.0
25819931,42.0,Home,0.0,1.0
25827981,2700.0,Home,1.0,0.0
25835481,1435.0,Home,1.0,1.0
25835491,6248.0,Home,1.0,0.0
25835711,22010.0,Home,0.0,2.0
25835881,163.0,Home,1.0,5.0
25835911,8956.0,Home,0.0,0.0
25859981,6996.0,Home,1.0,1.0
25860051,24288.0,Home,2.0,0.0
25865811,68608.0,Home,3.0,3.0
25865821,1075.0,Home,1.0,2.0
25865871,976.0,Home,1.0,2.0
25867691,995.0,Home,0.0,1.0
25867801,855.0,Home,1.0,0.0
25867891,995.0,Home,0.0,1.0
25868071,1158.0,Home,1.0,3.0
25868081,995.0,Home,2.0,0.0
25868111,969.0,Home,2.0,1.0
25869921,1158.0,Home,1.0,4.0
25869991,1421.0,Home,2.0,1.0
25873181,10625.0,Home,0.0,0.0
25889781,499.0,Home,3.0,1.0
25890011,610.0,Home,1.0,5.0
25890021,403.0,Home,2.0,2.0
25890521,467.0,Home,0.0,1.0
25890541,1304.0,Home,1.0,2.0
25890611,1268.0,Home,1.0,2.0
25890701,234.0,Home,2.0,1.0
25890731,1269.0,Home,3.0,1.0
25891381,133.0,Home,1.0,0.0
25891441,642.0,Home,2.0,2.0
25891561,383.0,Home,0.0,2.0
25891661,610.0,Home,2.0,2.0
25891751,317.0,Home,0.0,2.0
25891861,499.0,Home,3.0,1.0
25891901,234.0,Home,0.0,1.0
25892471,524.0,Home,3.0,0.0
25898091,11194.0,Home,1.0,2.0
25898251,6621.0,Home,0.0,1.0
25903991,589.0,Home,1.0,3.0
25904021,114.0,Home,2.0,1.0
25906231,126.0,Home,3.0,2.0
25939691,589.0,Home,5.0,1.0
25939961,6890.0,Home,0.0,1.0
25940321,10484.0,Home,1.0,2.0
25940421,449.0,Home,0.0,3.0
25940531,3205.0,Home,1.0,1.0
25944741,3368.0,Home,2.0,1.0
25944941,1084.0,Home,0.0,0.0
25944981,150.0,Home,0.0,1.0
25945041,1533.0,Home,2.0,0.0
25945351,13.0,Home,1.0,1.0
25945481,897.0,Home,2.0,2.0
25945571,1084.0,Home,0.0,2.0
25945731,368.0,Home,2.0,3.0
25946011,1050.0,Home,1.0,2.0
25946201,367.0,Home,2.0,1.0
25946261,150.0,Home,0.0,0.0
25946271,714.0,Home,0.0,1.0
25946341,1533.0,Home,0.0,2.0
25946471,16795.0,Home,1.0,2.0
25946561,131.0,Home,0.0,4.0
25946571,368.0,Home,0.0,2.0
25946591,940.0,Home,2.0,0.0
25947331,472.0,Home,0.0,4.0
25947661,897.0,Home,1.0,2.0
25947971,940.0,Home,1.0,1.0
25948081,16795.0,Home,1.0,5.0
25967081,2477.0,Home,0.0,4.0
25969401,336.0,Home,1.0,1.0
25974331,18303.0,Home,0.0,0.0
25974371,10690.0,Home,0.0,0.0
25975191,16866.0,Home,0.0,4.0
25988321,6992.0,Home,0.0,0.0
25988361,2477.0,Home,2.0,0.0
25988391,6994.0,Home,3.0,0.0
